criticidad,estado,nombre_spend,nombre_leads,spend,impresiones,clicks,leads_total,leads_hmt,leads_web,leads_lfr,spend_desde,spend_hasta,accion
OK,Solo leads (organico/directo),,habi-habimetro-co-nal-tod-blog-org-valor-metro-cuadrado-bogota,0,0,0,1057,1057,0,0,,,-
OK,Solo leads (organico/directo),,habi-habimetro-co-nal-tod-blog-org-zonas-comunes-afectan-valor-vivienda,0,0,0,23,23,0,0,,,-
OK,Solo leads (organico/directo),,habi-habimetro-co-nal-tod-fb-rs-org-organico,0,0,0,25,25,0,0,,,-
OK,Solo leads (organico/directo),,habi-hm-co-bo-tod-gg-performance_max-cpa-habimetro,0,0,0,12,12,0,0,,,-
OK,Solo leads (organico/directo),,habi-hm-co-bo-tod-gg-prf-cpa-performancemaxhabimetrov1,0,0,0,42,42,0,0,,,-
OK,Solo leads (organico/directo),,habi-hm-co-nal-rf-sweb-org-articulosabervalordetucasa,0,0,0,81,81,0,0,,,-
OK,Solo leads (organico/directo),,habi-hm-co-nal-rf-sweb-org-habimetrovaloraciondepropiedad,0,0,0,56,56,0,0,,,-
OK,Solo leads (organico/directo),,habi-hm-co-nal-tod-fb-comentario,0,0,0,469,469,0,0,,,-
OK,Solo leads (organico/directo),,habi-hm-co-nal-tod-gg-prf-cpa-performancemaxhabimetrov1,0,0,0,42,42,0,0,,,-
OK,Solo leads (organico/directo),,habi-hm-co-nal-tod-gg-sr-cpa-habimetronacional,0,0,0,9,9,0,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-bo-bog-wa-tx-org-trebleventa-,0,0,0,5071,0,5071,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-bo-bog-wa-tx-org-trebleventa-manual,0,0,0,37,0,37,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-bo-tod-gg-ds-cpa-habimetrov2-rsa1,0,0,0,5,5,0,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-bo-tod-gg-prf-cpa-performancemaxhabimetrov1,0,0,0,6,6,0,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-bo-tod-gg-sr-cpa-sellersbogota,0,0,0,121,1,120,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-cn-tod-mb-vr-organic-oficina-linkperfil,0,0,0,131,0,131,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-comision-por-venta-de-casa,0,0,0,30,0,30,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-cuanto-impuesto-se-paga-por-vender-una-casa,0,0,0,84,0,84,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-cuanto-impuesto-se-paga-por-vender-una-casa-M,0,0,0,14,0,14,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-gastos-notariales-e-inmobiliarios-que-costos-debo-incluir-en-la-compra-de-mi-casa,0,0,0,32,0,32,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-habi-ayudamos-vender-tu-casa,0,0,0,23,0,23,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-habi-como-ejercer-venta-de-una-casa-heredada,0,0,0,12,0,12,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-habi-habi-compra-vende-casas-bucaramanga,0,0,0,11,0,11,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-habi-que-es-como-deshacer-pacto-de-retroventa,0,0,0,9,0,9,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-negociar-precio-vivienda-habi-M,0,0,0,5,0,5,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-precio-metro-cuadrado-bucaramanga,0,0,0,30,0,30,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-precio-metro-cuadrado-cartagena,0,0,0,32,0,32,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-que-es-habi-y-como-funciona,0,0,0,20,0,20,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-que-es-habi-y-como-funciona-M,0,0,0,16,0,16,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-que-es-la-hipoteca-inversa,0,0,0,63,0,63,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-que-es-patrimonio-familiar,0,0,0,130,0,130,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-que-es-una-hipoteca-como-pagar-rapido,0,0,0,11,0,11,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-ritual-para-vender-una-casa-rapido,0,0,0,216,0,216,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-ritual-para-vender-una-casa-rapido-M,0,0,0,187,0,187,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-se-puede-vender-un-inmueble-hipotecado-en-colombia,0,0,0,176,0,176,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-tips-como-vender-casa-rapido-sin-perder-dinero,0,0,0,30,0,30,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-tramites-vender-casa-B,0,0,0,64,0,64,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-tramites-vender-casa-M,0,0,0,38,0,38,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-vender-apartamento-en-cali,0,0,0,9,0,9,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-vender-casa-afectacion-vivienda-familiar,0,0,0,17,0,17,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-vender-casa-comprar-otra,0,0,0,6,0,6,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-blog-org-vender-casa-con-leasing-habitacional,0,0,0,111,0,111,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-fb-cm-org-habimetro-,0,0,0,5,5,0,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-fb-cm-org-organico-,0,0,0,25,0,25,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-fb-comentario-org-perfor,0,0,0,22,0,22,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-fb-rs-org-linkperfil,0,0,0,438,0,438,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-fb-rs-org-linkperfil-faq,0,0,0,17,0,17,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-fb-rs-org-organico-,0,0,0,96,0,96,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-fb-rs-org-organico-externo,0,0,0,6,0,6,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-gg-sm-cpa-sellersnacional,0,0,0,2436,0,2436,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-gg-sr-cpa-ext1,0,0,0,7972,0,7972,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-gg-sr-cpa-ext10,0,0,0,737,0,737,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-gg-sr-cpa-ext2,0,0,0,8413,8413,0,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-gg-sr-cpa-ext3,0,0,0,1816,0,1816,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-gg-sr-cpa-ext4,0,0,0,8,8,0,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-gg-sr-cpa-ext5,0,0,0,227,227,0,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-gg-sr-cpa-ext8,0,0,0,43,43,0,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-gg-sr-cpa-ext9,0,0,0,76,76,0,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-gg-sr-cpa-sellersnacional,0,0,0,70,0,70,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-gg-sr-gen-habimetro-aon-avaluo-catastral1,0,0,0,11,11,0,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-ig-cm-org-organico-,0,0,0,106,0,106,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-ig-rs-org-habimetro-linkperfil,0,0,0,968,968,0,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-ig-rs-org-habimetro-stories,0,0,0,68,68,0,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-ig-rs-org-stories,0,0,0,331,0,331,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-ig-rs-org-stories190123,0,0,0,35,0,35,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-linkd-cm-org-,0,0,0,5,0,5,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-mm-mm-org-venta-,0,0,0,15,0,15,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-wa-tx-org-treblehabimetro-manual,0,0,0,770,770,0,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-yt-rs-org-como-habi-establece-la-oferta,0,0,0,8,0,8,0,,,-
OK,Solo leads (organico/directo),,habi-venta-co-nal-tod-yt-rs-org-homeperfil,0,0,0,29,0,29,0,,,-
OK,Solo leads (organico/directo),,hb_co_se_na_fb_cv_ld_sg_ao,0,0,0,894,0,894,0,,,-
OK,Solo leads (organico/directo),,referidos,0,0,0,797,0,797,0,,,-
OK,Solo leads (organico/directo),,referidos_clientes,0,0,0,12,0,12,0,,,-
OK,Solo leads (organico/directo),,snack_content,0,0,0,58,0,58,0,,,-
